Code,Name,Category,Risk Category,Risk,Upskill Effort,Setup Effort,Recurring effort,Effort,Maturity,Created,Updated,When,Regular,ExternalTeam,Team Size,OldWhen,CGovReview,Order Discovered,Cost/Benefit,Will you get fired,Marinated Importance,Lead time (weeks),Dependency prep (effort required working on things that feed into this tool or process),Idea?,,Help,Applicability,Whatisit,Riskifskipped,Howlong,UserGuide,Help
AppS,Application Scanning,Security Scanner,Code,1,3,5,,9,1 - Adhoc,2023-02-18,2023-02-18,6 - Pre-Delivery,,,20,2 - Notify,,35,0.1111111111,,,,,,,,"This tool applies if: You write code, and push that code to GitHub or GitLab, OR You create Docker images, and push those images to Artifactory. It’s installed by default on all of our repositories, and should be configured as a required status check on pull requests by one of the team’s engineers.",It’s a tool that runs on source code repositories. It aims to detect secrets in our code base and docker images and improve our security posture.,"Credentials that could be used to connect to various internal or external systems might be exposed, leading towards hacking of systems, outages, loss of productivity, loss of trust, and significant financial penalties for Iress. Wasted time rotating, revoking, and remediating leaked secrets for engineers","Less than 5 minutes to install the tool as a pre-push hook on your development machine; Less than a few seconds each time you run ""git push""; Less than 5 minutes to configure GitGuardian as a Required Status check on all of your oneiress and oneiresslab repository if you've set up org-repo-settings (iress-io repositories have this done automatically)",https://hq.iress.com/pages/viewpage.action?spaceKey=TLT&title=GitGuardian,slack#coi_gitguardian
AppSHQ,Application Security HQ,Security,Code,1,2,0,,3,1 - Adhoc,2023-02-18,2023-02-18,7 - Delivery,,,10,1 - Dev,,39,0.3333333333,1,,,,,,,,,,,,
ArchD,Architecture Diagram,Maintainability,Maintenance,1,1,1,1,4,3 - Defined,2019-01-04,2019-01-04,4 - Local Dev,,,4,4 - Yearly,Yes,4,0.25,,,,,,,,,,,,,
Atlas,Atlas,Operations,Maintenance,1,1,1,,3,4 - Measured,2019-01-06,2019-01-06,7 - Delivery,,,1,1 - Dev,Yes,6,0.3333333333,1,,,1,,,,,,,,,
AutIT,Automated Integration Testing,Maintainability,Maintenance,1,10,3,,14,1 - Adhoc,2019-01-16,2019-01-16,5 - Development,,,8,1 - Dev,Yes,16,0.07142857143,2,,,,,,,,,,,,
BuiAC,Buildkite access control,Security Scanner,Deploy,3,1,1,,3,3 - Defined,2019-01-14,2019-01-14,7 - Delivery,,,1,1 - Dev,,14,1,5,,,,,,,,,,,,
Chek,Checkov,Security Scanner,Infra,1,2,2,,5,3 - Defined,2023-02-18,2023-02-18,6 - Pre-Delivery,,,10,2 - Notify,,29,0.2,,,,,,,,,,,,,
CloCD,Cloudability,Operations,Cost,1,1,1,1,4,3 - Defined,2019-01-08,2019-01-08,8 - Deployed,,,5,3 - Monthly,Yes,8,0.25,,,,,,,,,,,,,
CloGR,Cloud Governance Review,Operations,Code,3,1,1,,3,3 - Defined,2019-01-03,2019-01-03,5 - Development,Regular,SRE Finance Infosec,5,1 - Dev,Yes,3,1,10,,,10,,,,,,,,,
CostM,Cost modelling,Operations,Cost,1,1,1,1,4,3 - Defined,2019-01-17,2019-01-17,4 - Local Dev,,,10,1 - Dev,Yes,17,0.25,1,,,,,,,,,,,,
DatCD,Datadog Cost Dashboard,Operations,Cost,1,3,1,,5,1 - Adhoc,2023-02-18,2023-02-18,8 - Deployed,,,12,3 - Monthly,,36,0.2,,,,,,,,,,,,,
DatD,Datadog dashboard,Operations,Support,2,5,1,,7,3 - Defined,2019-01-07,2019-01-07,4 - Local Dev,,,5,1 - Dev,Yes,7,0.2857142857,,,,,,,,,,,,,
DatPIA,Data Protection Impact Assessment,Operations,Infra,1,2,2,,5,1 - Adhoc,2023-02-18,2023-02-18,1 - Pre-Dev,,Legal,12,1 - Dev,,38,0.2,,,,,,,,,,,,,
DepB,Dependabot,Security Scanner,Code,2,2,2,,5,3 - Defined,2019-01-11,2019-01-11,5 - Development,,,5,2 - Notify,Yes,11,0.4,,,,,,,,,,,,,
