Start	Move	End	Distance	Weight	Description
Asellus Primus	Resonating Separators	Surya	17	1167	Profit: 1167/unit (17 Ly)
Surya	Superconductors	Aulin	20	1322	Profit: 1322/unit (20 Ly)
Aulin	Performance Enhancers	LP 64-194	22	550	Profit: 550/unit (22 Ly)
LP 64-194	Gold	Nang Ta-khian	12	1529	Profit: 1529/unit (12 Ly)
Nang Ta-khian	Personal Weapons	Ithaca	22	581	Profit: 581/unit (22 Ly)
Ithaca	Palladium	Asellus Primus	19	1543	Profit: 1543/unit (19 Ly)
Asellus Primus	Resonating Separators	Surya	17	1167	Profit: 1167/unit (17 Ly)
Surya	Superconductors	Aulin	20	1322	Profit: 1322/unit (20 Ly)
Aulin	Terrain Enrichment Systems	Wyrd	12	1143	Profit: 1143/unit (12 Ly)
Wyrd	Coffee	LP 64-194	16	510	Profit: 510/unit (16 Ly)
LP 64-194	Gold	Asellus Primus	18	1455	Profit: 1455/unit (18 Ly)
Acihaut	Gallite	LFT 880	17	629	Profit: 629/unit (17 Ly)
LFT 880	Gold	Asellus Primus	20	1465	Profit: 1465/unit (20 Ly)
Asellus Primus	Resonating Separators	Acihaut	17	1264	Profit: 1264/unit (17 Ly)
Asellus Primus	Resonating Separators	LFT 880	20	999	Profit: 999/unit (20 Ly)
LFT 880	Gold	Nang Ta-khian	14	1539	Profit: 1539/unit (14 Ly)
Nang Ta-khian	Personal Weapons	LP 64-194	12	540	Profit: 540/unit (12 Ly)
LP 64-194	Gold	Aulin	22	1482	Profit: 1482/unit (22 Ly)
Aulin	Bertrandite	Surya	20	813	Profit: 813/unit (20 Ly)
Surya	Superconductors	Asellus Primus	17	1352	Profit: 1352/unit (17 Ly)
Asellus Primus	Resonating Separators	Surya	17	1167	Profit: 1167/unit (17 Ly)
Surya	Superconductors	Aulin	20	1322	Profit: 1322/unit (20 Ly)
Aulin	Terrain Enrichment Systems	Wyrd	12	1143	Profit: 1143/unit (12 Ly)
Wyrd	Coffee	LFT 880	19	509	Profit: 509/unit (19 Ly)
LFT 880	Gold	Asellus Primus	20	1465	Profit: 1465/unit (20 Ly)
Asellus Primus	Resonating Separators	Surya	17	1167	Profit: 1167/unit (17 Ly)
Surya	Superconductors	Aulin	20	1322	Profit: 1322/unit (20 Ly)
Aulin	Terrain Enrichment Systems	Wyrd	12	1143	Profit: 1143/unit (12 Ly)
Wyrd	Coffee	LHS 2884	21	508	Profit: 508/unit (21 Ly)
LHS 2884	Gold	Asellus Primus	9	1470	Profit: 1470/unit (9 Ly)
Asellus Primus	Resonating Separators	Surya	17	1167	Profit: 1167/unit (17 Ly)
Surya	Superconductors	Aulin	20	1322	Profit: 1322/unit (20 Ly)
Aulin	Performance Enhancers	LP 64-194	22	550	Profit: 550/unit (22 Ly)
LP 64-194	Gold	Asellus Primus	18	1455	Profit: 1455/unit (18 Ly)
Asellus Primus	Resonating Separators	Surya	17	1167	Profit: 1167/unit (17 Ly)
Surya	Superconductors	Aulin	20	1322	Profit: 1322/unit (20 Ly)
Aulin	Performance Enhancers	LHS 2884	17	542	Profit: 542/unit (17 Ly)
LHS 2884	Gold	Asellus Primus	9	1470	Profit: 1470/unit (9 Ly)
Asellus Primus	Resonating Separators	LFT 880	20	999	Profit: 999/unit (20 Ly)
LFT 880	Gold	Nang Ta-khian	14	1539	Profit: 1539/unit (14 Ly)
Nang Ta-khian	Personal Weapons	LP 64-194	12	540	Profit: 540/unit (12 Ly)
LP 64-194	Gold	Asellus Primus	18	1455	Profit: 1455/unit (18 Ly)
Asellus Primus	Personal Weapons	CM Draco	16	567	Profit: 567/unit (16 Ly)
CM Draco	Palladium	LHS 3262	17	1463	Profit: 1463/unit (17 Ly)
LHS 3262	Consumer Technology	Wyrd	20	1343	Profit: 1343/unit (20 Ly)
Wyrd	Tobacco	Ithaca	15	749	Profit: 749/unit (15 Ly)
Ithaca	Palladium	Asellus Primus	19	1543	Profit: 1543/unit (19 Ly)
Asellus Primus	Resonating Separators	Surya	17	1167	Profit: 1167/unit (17 Ly)
Surya	Superconductors	Aulin	20	1322	Profit: 1322/unit (20 Ly)
Aulin	Performance Enhancers	CM Draco	17	574	Profit: 574/unit (17 Ly)
CM Draco	Palladium	Asellus Primus	16	1496	Profit: 1496/unit (16 Ly)
Asellus Primus	Resonating Separators	Surya	17	1167	Profit: 1167/unit (17 Ly)
Surya	Superconductors	Aulin	20	1322	Profit: 1322/unit (20 Ly)
Aulin	Performance Enhancers	Ithaca	22	527	Profit: 527/unit (22 Ly)
Ithaca	Palladium	Asellus Primus	19	1543	Profit: 1543/unit (19 Ly)
Asellus Primus	Resonating Separators	Surya	17	1167	Profit: 1167/unit (17 Ly)
Surya	Superconductors	Aulin	20	1322	Profit: 1322/unit (20 Ly)
Aulin	Terrain Enrichment Systems	Wyrd	12	1143	Profit: 1143/unit (12 Ly)
Wyrd	Tobacco	LHS 2819	23	836	Profit: 836/unit (23 Ly)
LHS 2819	Gallium	Asellus Primus	14	1250	Profit: 1250/unit (14 Ly)
CM Draco	Palladium	LHS 3262	17	1463	Profit: 1463/unit (17 Ly)
LHS 3262	Consumer Technology	Nang Ta-khian	15	1365	Profit: 1365/unit (15 Ly)
Nang Ta-khian	Personal Weapons	CM Draco	20	601	Profit: 601/unit (20 Ly)
CM Draco	Palladium	LHS 3262	17	1463	Profit: 1463/unit (17 Ly)
LHS 3262	Consumer Technology	CM Draco	17	840	Profit: 840/unit (17 Ly)
Asellus Primus	Resonating Separators	LFT 880	20	999	Profit: 999/unit (20 Ly)
LFT 880	Gold	Nang Ta-khian	14	1539	Profit: 1539/unit (14 Ly)
Nang Ta-khian	Personal Weapons	CM Draco	20	601	Profit: 601/unit (20 Ly)
CM Draco	Palladium	Asellus Primus	16	1496	Profit: 1496/unit (16 Ly)
Asellus Primus	Resonating Separators	LFT 880	20	999	Profit: 999/unit (20 Ly)
LFT 880	Gold	Nang Ta-khian	14	1539	Profit: 1539/unit (14 Ly)
Nang Ta-khian	Personal Weapons	Ithaca	22	581	Profit: 581/unit (22 Ly)
Ithaca	Palladium	Asellus Primus	19	1543	Profit: 1543/unit (19 Ly)
Asellus Primus	Resonating Separators	Surya	17	1167	Profit: 1167/unit (17 Ly)
Surya	Superconductors	Aulin	20	1322	Profit: 1322/unit (20 Ly)
Aulin	Terrain Enrichment Systems	Wyrd	12	1143	Profit: 1143/unit (12 Ly)
Wyrd	Tobacco	Ithaca	15	749	Profit: 749/unit (15 Ly)
Ithaca	Palladium	Asellus Primus	19	1543	Profit: 1543/unit (19 Ly)
Asellus Primus	Resonating Separators	LFT 880	20	999	Profit: 999/unit (20 Ly)
LFT 880	Gold	Asellus Primus	20	1465	Profit: 1465/unit (20 Ly)
Asellus Primus	Resonating Separators	Surya	17	1167	Profit: 1167/unit (17 Ly)
Surya	Superconductors	Asellus Primus	17	1352	Profit: 1352/unit (17 Ly)
