Index	Start	End	Move	ClientAppName	ConnectionName	ClientInstance	ServerAppName	ServerInstance	ExtraData	RunId																
1	AU03-ABROC-PC2	AU03-ABROC-PC2	Phoenix ChainableTrades →NULL NULL	Phoenix	ChainableTrades		NULL	NULL		36																
2	AU03-ABROC-PC2	AU03-ABROC-PC2	Phoenix DatabaseSyncEventManager →NULL NULL	Phoenix	DatabaseSyncEventManager		NULL	NULL		36																
3	AU03-ABROC-PC2	SPTMMASTERDB1	Phoenix Depth →NULL NULL	Phoenix	Depth		NULL	NULL		36																
4	AU03-ABROC-PC2	AU03-ABROC-PC2	Phoenix ORH →NULL NULL	Phoenix	ORH		NULL	NULL		36																
5	AU03-ABROC-PC2	SPTMMASTERDB1	Phoenix PriceExtra →NULL NULL	Phoenix	PriceExtra		NULL	NULL		36																
6	AU03-ABROC-PC2	SPTMMASTERDB1	Phoenix Quote →NULL NULL	Phoenix	Quote		NULL	NULL		36																
7	AU03-ABROC-PC2	SPTMMASTERDB1	Phoenix SecID →NULL NULL	Phoenix	SecID		NULL	NULL		36																
8	AU03-ABROC-PC2	SPTMTMG6	QUOTESRV SPTMTMG6 child→NULL NULL	QUOTESRV	SPTMTMG6	child	NULL	NULL		36																
9	AU03-ABROC-PC2	AU03-ABROC-PC2	QUOTESRV SecId child→NULL NULL	QUOTESRV	SecId	child	NULL	NULL		36																
10	SPFIXDEV	SPTMPNXDS	FIXPLUSTE ORH primary DEVDEVAMFIXPLUS2_N2→NULL NULL	FIXPLUSTE	ORH primary	DEVDEVAMFIXPLUS2_N2	NULL	NULL		16																
11	SPFIXDEV	172.17.126.163	FIXPLUSTE ORH secondary DEVDEVAMFIXPLUS2_N2→NULL NULL	FIXPLUSTE	ORH secondary	DEVDEVAMFIXPLUS2_N2	NULL	NULL		16																
12	SPFIXDEV	172.17.126.163	IOSPLUSSRE ORH primary IOS_SPIOSPLUSFIXDEV1→NULL NULL	IOSPLUSSRE	ORH primary	IOS_SPIOSPLUSFIXDEV1	NULL	NULL		16																
13	SPFIXDEV	SPTMPNXDS	IOSPLUSSRE ORH secondary IOS_SPIOSPLUSFIXDEV1→NULL NULL	IOSPLUSSRE	ORH secondary	IOS_SPIOSPLUSFIXDEV1	NULL	NULL		16																
14	SPFIXDEV	::1	IOSPLUSSRE TE->SPFIXDEV:9449 IOS_SPIOSPLUSFIXDEV1→NULL NULL	IOSPLUSSRE	TE->SPFIXDEV:9449	IOS_SPIOSPLUSFIXDEV1	NULL	NULL		16																
15	SPFIXDEV	::1	FIXPLUSTI Drop Copy | 2 FIXTI_SPIOSPLUSFIXDEV1→NULL NULL	FIXPLUSTI	Drop Copy | 2	FIXTI_SPIOSPLUSFIXDEV1	NULL	NULL		16																
16	SPFIXDEV	::1	FIXPLUSTI Order Entry | 1 FIXTI_SPIOSPLUSFIXDEV1→NULL NULL	FIXPLUSTI	Order Entry | 1	FIXTI_SPIOSPLUSFIXDEV1	NULL	NULL		16																
17	SPFIXDEV	::1	FIXPLUSTI Sec ID update link FIXTI_SPIOSPLUSFIXDEV1→NULL NULL	FIXPLUSTI	Sec ID update link	FIXTI_SPIOSPLUSFIXDEV1	NULL	NULL		16																
18	SPFIXDEV	172.17.126.163	FIXPLUSTE ORH primary SPBRIDGEFIXDEV1→NULL NULL	FIXPLUSTE	ORH primary	SPBRIDGEFIXDEV1	NULL	NULL		16																
19	SPFIXDEV	SPTMPNXDS	FIXPLUSTE ORH secondary SPBRIDGEFIXDEV1→NULL NULL	FIXPLUSTE	ORH secondary	SPBRIDGEFIXDEV1	NULL	NULL		16																
