Index	Parent	Move	Origin
0		Personal Qualities	Original categorization based on John Gottman's list
2	0	Physical	https://www.slideshare.net/cristymelloso/personality-definitions-and-its-components
3	0	Intellectual	https://www.slideshare.net/cristymelloso/personality-definitions-and-its-components
4	0	Emotional	https://www.slideshare.net/cristymelloso/personality-definitions-and-its-components
5	0	Social	https://www.slideshare.net/cristymelloso/personality-definitions-and-its-components
6	2	Active	John Gottman
7	2	Appearance	John Gottman
8	3	Conscientious	https://en.wikipedia.org/wiki/Personality
9	3	Hardworking	John Gottman
10	3	Smart	John Gottman
11	4	Extraversion	https://en.wikipedia.org/wiki/Personality
12	4	Easygoing	John Gottman
13	4	Happy	John Gottman
14	4	Strong	John Gottman
15	4	Supportive	John Gottman
16	5	Accepting	https://en.wikipedia.org/wiki/Personality_psychology#Personality_theories
17	5	Authentic	John Gottman
18	5	Likable	John Gottman
19	5	Sociable	John Gottman
20	6	Facial Expressiveness	https://www.slideshare.net/cristymelloso/personality-definitions-and-its-components
21	6	Diction	https://www.slideshare.net/cristymelloso/personality-definitions-and-its-components
22	6	Vigilant	John Gottman
23	7	Grooming	https://www.slideshare.net/cristymelloso/personality-definitions-and-its-components
24	7	Dress	https://www.slideshare.net/cristymelloso/personality-definitions-and-its-components
25	7	Healthy	John Gottman
26	7	Fit	John Gottman
27	7	Slim	John Gottman
28	7	Clean	John Gottman
29	7	Voluptuous	John Gottman
30	8	Aware	John Gottman
31	8	Careful	John Gottman
32	8	Fair	John Gottman
33	8	Neat	John Gottman
34	8	Organized	John Gottman
35	8	Thorough	John Gottman
36	9	Ambitious	John Gottman
37	9	Dedicated	John Gottman
38	9	Determined	John Gottman
39	9	Diligent	John Gottman
40	9	Disciplined	John Gottman
41	9	Motivated	John Gottman
42	9	Persevering	John Gottman
43	9	Persistent	John Gottman
44	9	Practical	John Gottman
45	9	Problem-solving	John Gottman
46	9	Self-sacrificing	John Gottman
47	9	Studious	John Gottman
48	9	Successful	John Gottman
49	9	Tireless	John Gottman
50	9	Passionate	John Gottman
51	10	Clever	John Gottman
52	10	Creative	John Gottman
53	10	Curious	John Gottman
54	10	Discriminating	John Gottman
55	10	Imaginative	John Gottman
56	10	Ingenious	John Gottman
57	10	Inquisitive	John Gottman
58	10	Intelligent	John Gottman
59	10	Intuitive	John Gottman
60	10	Inventive	John Gottman
61	10	Knowledgeable	John Gottman
62	10	Quick-witted	John Gottman
63	10	Rational	John Gottman
64	10	Reasonable	John Gottman
65	10	Resourceful	John Gottman
66	10	Sharp	John Gottman
67	10	Skillful	John Gottman
68	10	Talented	John Gottman
69	10	Wise	John Gottman
70	11	Open to experience	https://en.wikipedia.org/wiki/Personality
71	11	Adventurous	John Gottman
72	11	Daring	John Gottman
73	11	Dynamic	John Gottman
74	11	Energetic	John Gottman
75	11	Enterprising	John Gottman
76	11	Feisty	John Gottman
77	11	Outgoing	John Gottman
78	11	Spontaneous	John Gottman
79	11	Surprising	John Gottman
80	12	Balanced	John Gottman
81	12	Idealistic	John Gottman
82	12	Laid-back	John Gottman
83	12	Mellow	John Gottman
84	12	Optimistic	John Gottman
85	12	Peaceful	John Gottman
86	12	Positive	John Gottman
87	12	Quiet	John Gottman
88	12	Reflective	John Gottman
89	12	Thoughtful	John Gottman
90	13	Cheerful	John Gottman
91	13	Eager	John Gottman
92	13	Exuberant	John Gottman
93	13	Fun	John Gottman
94	13	Joyful	John Gottman
95	13	Lighthearted	John Gottman
96	13	Lively	John Gottman
97	14	Bold	John Gottman
98	14	Brave	John Gottman
99	14	Capable	John Gottman
100	14	Commanding	John Gottman
101	14	Confident	John Gottman
102	14	Courageous	John Gottman
103	14	Gutsy	John Gottman
104	14	Independent	John Gottman
105	14	Resilient	John Gottman
106	14	Responsible	John Gottman
107	14	Self-confident	John Gottman
108	14	Self-sufficient	John Gottman
109	14	Stable	John Gottman
110	14	Steady	John Gottman
111	14	Emotional Stability	https://en.wikipedia.org/wiki/Personality
112	15	Appreciative	John Gottman
113	15	Caring	John Gottman
114	16	Compassionate	John Gottman
115	15	Devoted	John Gottman
116	16	Empathetic	John Gottman
117	15	Gentle	John Gottman
118	15	Insightful	John Gottman
119	15	Kind	John Gottman
120	15	Mature	John Gottman
121	15	Nurturing	John Gottman
122	15	Observant	John Gottman
123	15	Patient	John Gottman
124	15	Perceptive	John Gottman
125	15	Reliable	John Gottman
126	15	Sensitive	John Gottman
127	15	Sympathetic	John Gottman
128	15	Understanding	John Gottman
129	15	Understanding others	
130	16	Flexible	John Gottman
131	16	Forgiving	John Gottman
132	16	Private	John Gottman
133	16	Spiritual	John Gottman
134	16	Tolerant	John Gottman
135	17	Dependable	John Gottman
