Index	Parent	Start	Move	End	Tags	Origin	Date	Video	Description
0			Feelings			http://imgur.com/gallery/q6hcgsH			Feelings
1	0		Fear						Fearful
2	0		Anger						Angry
3	0		Disgust						Disgusted
4	0		Sadness						Sad
5	0		Happy						Happy
6	0		Surprise						Surprised
7	5		Joyful						Joyful
8	5		Interest						Interested
9	5		Proud						Proud
10	5		Acceptance						Accepted
11	5		Powerful						Powerful
12	5		Peaceful						Peaceful
13	5		Intimacy						Intimate
14	5		Optimism						Optimistic
15	7		Liberation						Liberation
16	7		Ecstasy						Ecstasy
17	8		Amusement						Amazed
18	8		Inquisitiveness						Inquisitiveness
19	9		Importance						Importance
20	9		Confidence						Confidant
21	10		Respect						Respect
22	10		Fulfillment						Fulfillment
23	11		Courage						Courageous
24	11		Provocation						Provoked
25	12		Love						Loving
26	12		Hope						Hopeful
27	13		Sensitivity						Sensitive
28	13		Playfulness						Playful
29	14		Openness						Openness
30	14		Inspiration						Inspired
31	4		Guilt						Guilty
32	4		Abandonment						Abandoned
33	4		Despair						Despair
34	4		Depression						Depressed
35	4		Loneliness						Lonely
36	4		Boredom						Bored
37	31		Remorse						Remorseful
38	31		Shame						Ashamed
39	32		Insignificance						Insignificant
40	32		Victimization						Victimised
41	33		Powerlessness						Powerless
42	33		Vulnerability						Vulnerable
43	34		Inferiority						Inferior
44	34		Emptiness						Empty
45	35		Abandonment						Abandoned
46	35		Isolation						Isolated
47	36		Apathy						Apathetic
48	36		Indifference						Indifferent
49	3		Disapproval						Disapproving
50	3		Disappointment						Disappointed
51	3		Awfulness						Awful
52	3		Avoidance						Avoidance
53	49		Judgement						Judgmental
54	49		Loathing						Loathing
55	50		Repulsion						Repelled
56	50		Revulsion						Revolted
57	51		Revulsion						Revolted
58	51		Detestation						Detestable
59	52		Aversion						Aversion
60	52		Hesitation						Hesitant
61	2		Hurt						Hurt
62	2		Threatened						Threatened
63	2		Hate						Hateful
64	2		Madness						Mad
65	2		Aggression						Aggressive
66	2		Frustration						Frustrated
67	2		Distance						Distant
68	2		Critical						Critical
69	61		Embarassment						Embarrassed
70	61		Devastation						Devastated
71	62		Insecurity						Insecure
72	62		Jealousy						Jealous
73	63		Resentment						Resentful
74	63		Violation						Violated
75	64		Fury						Furious
76	64		Enragement						Enraged
77	65		Provocation						Provoked
78	65		Hostility						Hostile
79	66		Infuriation						Infuriated
80	66		Irritation						Irritation
81	67		Withdrawn						Withdrawn
82	67		Suspicion						Suspicion
83	68		Skepticism						Skeptical
84	68		Sarcastic						Sarcastic
85	1		Humiliation						Humiliated
86	1		Rejection						Rejected
87	1		Submission						Submissive
88	1		Insecurity						Insecurity
89	1		Anxiety						Anxious
90	1		Scared						Scared
91	85		Ridicule						Ridiculed
92	85		Disrespect						Disrespected
93	86		Alienation						Alienated
94	86		Inadequacy						Inadequate
95	87		Insignificance						Insignificant
96	87		Worthless						Worthless
97	88		Inferiority						Inferior
98	88		Inadequacy						Inadequacy
99	89		Worry						Worried
100	89		Overwhelmed						Overwhelmed
101	90		Fright						Frightened
102	90		Terrified						Terrified
103	6		Startled						Startled
104	6		Confusion						Confused
105	6		Amazement						Amazed
106	6		Excitement						Excited
107	103		Shock						Shocked
108	103		Dismay						Dismayed
109	104		Disillusionment						Disillusioned
110	104		Perplexity						Perplexed
111	105		Astonishment						Astonished
112	105		Awe						Awe
113	106		Eagerness						Eager
114	106		Energetic						Energetic
