Index	Parent	Start	Move	End	Tags	Origin	Date	Video	Description
0						https://www.slideshare.net/umubano/classification-of-emotions			
1	0		Fear						Fearful
2	0		Anger						Angry
3	0		Love						Loved
4	0		Sadness						Sad
5	0		Joy						Happy
6	0		Surprise						Surprised
7	3		Affection						Affectionate
8	7		Adoration						Adoring
9	7		Attraction						Attracted
10	7		Caring						Caring
11	7		Tenderness						Tender
12	7		Compassion						Compassionate
13	7		Sentimentality						Sentimental
14	3		Lust						Lusty
15	3		Longing						Longing
16	14		Arousal						Aroused
17	14		Desire						Desiring
18	14		Lust						Lusty
19	14		Passion						Passion
20	14		Infatuation						Infatuated
21	5		Cheerfulness						Cheerful
22	5		Zest						Zesty
23	5		Contentment						Contented
24	5		Pride						Proud
25	5		Optimism						Optimistic
26	21		Amusement						Amused
27	21		Bliss						Blissful
28	21		Gaiety						Gay
29	21		Glee						Gleeful
30	21		Joy						Joyful
31	21		Gladness						Glad
32	21		Happiness						Happy
33	21		Satisfaction						Satisfied
34	22		Enthusiasm						Enthusiastic
35	22		Excitement						Excited
36	23		Contentment						Contented
37	23		Pleasure						Pleased
38	24		Pride						Proud
39	24		Triumph						Triumphant
40	25		Eagerness						Eager
41	25		Hope						Hopeful
42	25		Optimism						Optimistic
43	6		Surprise						Surprised
44	43		Amazement						Amazed
45	43		Surprise						Surprised
46	43		Astonishment						Astonished
47	2		Irritation						Irritated
48	47		Aggravation						Aggravated
49	47		Agitation						Agitated
50	47		Annoyance						Annoyed
51	47		Grouchiness						Grouchy
52	2		Exasperation						Exasperated
53	52		Exasperation						Exasperated
54	52		Frustration						Frustrated
55	2		Envy						Envious
56	55		Envy						Envious
57	55		Jealousy						Jealous
58	2		Suffering						Suffering
59	58		Agony						Agonized
60	58		Hurt						Hurt
61	58		Anguish						Anguish
62	4		Disappointment						Disappointed
63	62		Dismay						Dismayed
64	62		Displeasure						Displeased
65	4		Shame						Ashamed
66	65		Guilt						Guilty
67	65		Regret						Regretful
68	65		Remorse						Remorseful
69	4		Neglect						Neglected
70	4		Sympathy						Sympathetic
71	70		Isolation						Isolated
72	70		Loneliness						Lonely
73	70		Rejection						Rejected
74	70		Humiliation						Humiliated
75	70		Insult						Insulted
76	70		Pity						Piteous
77	1		Horror						Horrified
78	77		Alarm						Alarmed
79	77		Shock						Shocked
80	77		Disgust						Disgusted
81	77		Fright						Frightened
82	77		Horror						Horrified
83	77		Terror						Terrified
84	77		Panic						Panic
85	1		Nervousness						Nervous
86	85		Anxiety						Anxious
87	85		Tenseness						Tense
88	85		Uneasiness						Uneasy
89	85		Apprehension						Apprehensive
90	85		Worry						Worried
91	15		Longing						Longing
92	69		Neglect						Neglected
