name	type	importance
Amazed	happy	1
Fulfilled	happy	1
Joyous	happy	1
Stimulated	happy	1
Comfortable	happy	1
Glad	happy	1
Moved	happy	1
Surprised	happy	1
Confident	happy	1
Hopeful	happy	1
Optimistic	happy	1
Thankful	happy	1
Eager	happy	1
Inspired	happy	1
Proud	happy	1
Touched	happy	1
Energetic	happy	1
Intrigued	happy	1
Relieved	happy	1
Trustful	happy	1
Angry	unhappy	1
Annoyed	unhappy	1
Concerned	unhappy	1
Confused	unhappy	1
Disappointed	unhappy	1
Discouraged	unhappy	1
Distressed	unhappy	1
Embarrassed	unhappy	1
Frustrated	unhappy	1
Helpless	unhappy	1
Hopeless	unhappy	1
Impatient	unhappy	1
Irritated	unhappy	1
Lonely	unhappy	1
Nervous	unhappy	1
Overwhelmed	unhappy	1
Puzzled	unhappy	1
Reluctant	unhappy	1
Sad	unhappy	1
Uncomfortable	unhappy	1
