Index	Parent	Start	Move	End	Tags	Origin	Date	Video	Description
0			Values						Values
1	0		Recognition						Recognition
2	0		Lifestyle						Lifestyle
3	0		Personal						Personal
4	0		Professional						Professional
5	0		Social						Social
6	0		Spiritual						Spiritual
7	4		Achievement						Achievement
8	2		Adventure						Adventure
9	1		Authority						Authority
10	2		Balance						Balance
11	5		Citizenship						Citizenship
12	5		Community						Community
13	5		Compassion						Compassion
14	4		Competency						Competency
15	5		Contribution						Contribution
16	4		Creativity						Creativity
17	2		Curiosity						Curiosity
18	2		Exploration						Exploration
19	5		Fairness						Fairness
20	6		Faith						Faith
21	1		Fame						Fame
22	3		Friendships						Friendships
23	2		Fun						Fun
24	3		Growth						Growth
25	2		Happiness						Happiness
26	2		Health						Health
27	4		Honesty						Honesty
28	1		Influence						Influence
29	6		Inner Harmony						Inner Harmony
30	4		Innovation						Innovation
31	4		Integrity						Integrity
32	5		Justice						Justice
33	5		Kindness						Kindness
34	4		Leadership						Leadership
35	3		Learning						Learning
36	2		Love						Love
38	4		Meaningful Work						Meaningful Work
39	2		Openness						Openness
40	6		Peace						Peace
41	3		Pleasure						Pleasure
42	1		Popularity						Popularity
44	6		Religion						Religion
45	2		Respect						Respect
46	4		Responsibility						Responsibility
48	3		Self-Respect						Self-Respect
49	5		Service						Service
50	5		Sustainability						Sustainability
51	3		Stability						Stability
52	1		Status						Status
53	4		Success						Success
54	3		Trustworthiness						Trustworthiness
55	2		Wealth						Wealth
56	6		Wisdom						Wisdom
57	2		Safety						Safety
58	62		Quality time						Quality time
60	62		Loyalty						Loyalty
61	62		Perseverance						Perseverance
62	0		Family						Family
