Start	Move	End	Week	Date	Description	Index
Open hold	Cross body lead	Open hold	Intro		Lead with body positioning; stand well in front and to side. Stretch to avoid twisting girl. It's also helpful to give a very slight "stop" (push) on 3 with the backs of your hands -- this helps make sure you don't move your hands until giving a firm tug on 5. Step firmly in place on ball of foot on 5.	38
Open hold	Walk through	Open hold	Intro		Half an outside turn; lead with slight brush on back of inside shoulder. Arm stays down until 5.5 then up on 6 for her to walk under. 	39
Open hold	Walk through	Hammerlock	Intro		Don't forget sneaky low pancake flip with locking hand to avoid twisting girl's arm	40
Hammerlock	Turn	Open hold	Intro			41
Open hold	Double-handed turn	Catapult	Intro			42
Catapult	Back-to-back pass + free spin	Open hold	Intro		Pull girl past into back-to-back position with hands extended to sides, then free spin girl.	43
Open hold	RH girl window + outside turn	Catapult	Outside turns	2014-03-13		44
Catapult	Inside turn	Shoulder wrap	Outside turns	2014-03-13		45
Shoulder wrap	Outside turn + block	Basic blocked	Outside turns	2014-03-13		46
Open hold	Outside turn + block	Basic blocked	Outside turns	2014-03-06	Block: Elbows and forearms collide (gently)	47
Basic blocked	Clock + swap hand + girl spot turn	Crosshand	Outside turns	2014-03-06		48
Crosshand	Haircomb + boy drop + bodyroll	Open hold	Outside turns	2014-03-06		49
Open hold	Outside turn + trail	Hammerlock	Outside turns	2014-03-20	Boy trails his hand around girl's waist, to allow extra turn before collecting hand again for hammerlock	50
Hammerlock	Copa + bodyroll	Boy wrap	Outside turns	2014-03-20	Pull girl past to the right and through a half turn to unwind, then half turn under boy's right arm and pull girl in for bodyroll	51
Boy wrap	Girl turn	Open hold	Outside turns	2014-03-20		52
Open hold	Cross body lead	Crosshand	Outside turns	2014-03-27		53
Crosshand	Haircomb + shoulder-led outside turn	Open hold	Outside turns	2014-03-27	Light pressure with LH on her Lshoulder, right arm around her shoulders to catch her right shoulder for contra on 3. Boy behind, not to side or in front. Start early to make sure you get into the right position on 3.	54
Open hold	Copa	Wrap	Copa	2014-04-02	Hands up slightly on 7, fake push on 8 (keep arms well bent, not straight), pull quite hard on 1, girl half turn on 2, cuddle on 3 (contact is right manboob to left shoulderblade and front of hip to butt). 	55
Wrap	Cross body lead	Open hold	Copa	2014-04-02	Lead with hand low, and out in front; release other hand	56
Open hold	Copa	Wrap	Copa	2014-04-02		57
Wrap	Inside turn	Open hold	Copa	2014-04-02	Be sure to do a strong contra (wind-up) before this (anti-clockwise) turn.	58
Open hold	Copa	Wrap	Copa	2014-04-09		59
Wrap	Outside turn	Catapult	Copa	2014-04-09	Lead this with a strong contra (keep hand low)	60
Catapult	Throw wrists down + free inside turn	Open hold	Copa	2014-04-09	Let go, grab wrists, throw down on 1, hands on waist on 2, contra on 3	61
Wrap	Squat + bodyroll	Wrap	Copa	2014-04-16	Sink down for one bar (boy's knees apart, girl's together) then lead rising bodyroll with torso.	62
Wrap	Fold girl	Catapult	Copa	2014-04-16	Uplift on four, step in place on 5.Fold girl on 5 (pull hip and roll arm up her back to shoulder), step forward on 2, half turn on 3.	63
Catapult	Back-to-back pass + free spin	Open hold	Copa	2014-04-16	Pull girl past into back-to-back position with hands extended to sides, then free spin girl.	64
Wrap	Flare + inside or outside turn	Open hold	Copa	2014-04-23	To flare, prepare (lift frame) on 8 then drop frame and twist/stick out foot on 1. Contra for turn on 3.	65
Open hold	Copa + walk back	Wrap	Copa	2014-04-23	During copa, do not rotate frame (to indicate that we're not stopping). Chest should touch girl's shoulder on 3, then walk back with WRONG FEET (LRL) on 5,6,7.	66
Open hold	Girl spin	Hammerlock	Hammerlock	2014-04-30	Prepare by swinging guiding hand to left on 1 2, then up on 3 for turn on 6. Keep locking hand low.	67
Hammerlock	Turn	Open hold	Hammerlock	2014-04-30	Stand side on to girl, then step out of her way on 5 6 (she turns on 6)	68
Open hold	Double girl window + bodyroll	Open hold	Hammerlock	2014-04-30	Guide girl's left forearm over her head, then same with right. Hold her shoulderblades and roll palm down her back to lead bodyroll. Girl should have hands on boy's shoulders.	69
Hammerlock	Copa + inside turn	Open hold	Hammerlock	2014-05-07	Boy springs girl but doesn't step back himself (don't pull locked hand). Boy walks past for good offset.	70
Open hold	Boy spin + girl spin	Hammerlock	Hammerlock	2014-05-07	Boy turns (hand starts low!) then just before girl turns he takes her hand. Can signal this by trailing around her waist (even before she starts turning).	71
Hammerlock	Tunnel box step	Hammerlock	Hammerlock	2014-05-14	Boy steps spot on 1,forward on 2,3, brushes backs on 4 (arm comes down, then other arm goes up). Enter reverse hammerlock to 8. Rock back to start reverse.	72
Open hold	Boy spin	Boy hammerlock	Hammerlock	2014-05-21	Boy goes under right arm, stands to the side	73
Boy hammerlock	Outside turn	Open hold	Hammerlock	2014-05-21	Outside turn, led with inside (right) hand	74
Hammerlock	Turn	Open hold	Hammerlock	2014-05-21	Boy starts to the side	75
Hammerlock	Hands low turn + RH flick	Reverse hammerlock	Hammerlock	2014-05-28	Keep both hands very low while girl does an inside turn, prepare on 8, flick down on 1 so hand does a little circle, catch on 3.	76
Reverse hammerlock	S turn	Hammerlock	Hammerlock	2014-05-28	Just like a girl outside turn	77
Open hold	Girl turn	Waltz hold	Inside turns	2014-06-04	Half way through girl's turn, place hand between shoulderblades	78
Waltz hold	Girl turn	Waltz hold	Inside turns	2014-06-04		79
Waltz hold	Cross body lead	Cliffhanger	Inside turns	2014-06-04		80
Cliffhanger	Inside turn	Open hold	Inside turns	2014-06-11	Collect hand on 5, turn on 6.	81
Open hold	Elbow break + inside turn	Crosshand	Inside turns	2014-06-11		82
Crosshand	Haircomb + shoulder-led inside turn	Open hold	Inside turns	2014-06-11		83
Open hold	Double-handed turn	Catapult	Inside turns	2014-06-19		84
Catapult	Boy turn to side, girl inside turn	Cliffhanger	Inside turns	2014-06-19	Boy keeps his right hand on his left shoulder for turn. Left hand over head. Then keeps right hand at back of his neck and lets go. After girl turn, feed hand a little to open up.	85
Cliffhanger	Inside turn	Open hold	Inside turns	2014-06-19	Turning hand makes contact on 5, after girl has travelled most of the way.	86
Open hold	Girl spot turn + boy under arm	Crosshand	Inside turns	2014-06-26	Elbow inside to lift girl's arm slightly then boy bends at hips to slide body under, keeping back straight and head up/back	87
Crosshand	Double-handed turn	Crosshand	Inside turns	2014-06-26		88
Crosshand	Double-handed spot turn	Crosshand	Inside turns	2014-06-26	Prepare by doing a large anticlockwise circle (starting and ending at the top) with both hands for first measure, then turn girl on 6 as usual (dropping arms slightly on 5 if necessary)	89
Crosshand	Sombrero	Open hold	Inside turns	2014-06-26	Start left hand on top, boy to side. Haircomb boy then girl. On 3, take girl's outside hand using inside arm (under her inside arm), then inside turn	90
Open hold	Boy spin + girl spin	Crosshand	Blocks	2014-07-02	Swap hands after boy turn	91
Crosshand	Inside turn + block	RH blocked	Blocks	2014-07-02	Lead the turn with contra only, no force. Left hand to shoulder as soon as possible, keep distant hand between shoulder and waist to prevent turn or hammerlock.	92
RH blocked	Unwind + haircomb	Crosshand	Blocks	2014-07-02	Block is soft, doesn't quite stop. Boy rocks back on one to absorb remaining momentum, half-turns girl on 2, then full spot turn for second measure	93
Crosshand	Inside turn + block	LH blocked	Blocks	2014-07-02	Lead with contra only, no force. Stop full turn with hand on shoulder.	94
LH blocked	Unwind	Crosshand	Blocks	2014-07-02		95
