Index	Parent	Start	Move	End	Tags	Origin	Date	Video	Description
1	root	Open hold	Basic	Open hold	easy, basic	Week 1			Holding hands, step sideways to BL (boy's left) on 1, bring BRfoot together on 2. Repeat in same direction for total of four counts. Girl mirrors. Complete 8-beat phrase (two bars) by stepping to BR (just tap your foot on 4 and 8, no weight transfer because you're about to step on it on the next beat). Tips: Don't bounce! Shoulders stay on same level. Push knees forward as they take weight to get the swaying motion -- hips go alternately up and down, not side-to-side. Upper body (not just shoulders) can also sway horizontally side-to-side (no vertical movement -- isolate ribs).
2	682	Open hold	Basic forward	Open hold	easy, basic	Week 1			Push on the follower's palms with the back of your hands so that she walks backwards. Lead (pull as smoothly as possible) her forward again on 5.
3	root	Open hold	Girl turn	Open hold	easy, turn	Week 1			Prepare by lifting pivot hand and pointing the direction of the turn with it.
4	root	Open hold	Boy turn	Open hold	easy, boy	Week 1			Put one hand on chest, out of the way. Use other hand to place follower's hand on waist for trailing.
5	4	Open hold	Boy turn	Crosshand	easy, boy	Week 1			Put one hand on chest, out of the way. Use this hand to grab the follower's trailing hand.
6	-	Open hold	Basic	Control hold	easy, basic	Week 1			Palms face partner, hands 70cm apart. Hold her wrists firmly.
7	1	Control hold	Single steps	Control hold	easy, basic	Week 1			Step left, feet together, step right, feet together. Repeat
8	-	Control hold	Basic	Open hold	easy, basic	Week 1			
9	3	Open hold	Girl turn	Hammerlock	easy, turn	Week 2			Turn on 1, keeping BRH very low. Keep contact with both hands. Boy should keep girl's hand very close to her butt with her arm almost straight and flip his palm downward while she is facing away to avoid twisting her arm (practise as a follow to see how to do this comfortably). Girl will end up in hammerlock (one arm behind her back). Girl should complete the full 360 degree turn. To allow this, boy should offset himself to the girl's right so he is not pulling on the hammerlocked arm.
10	9	Hammerlock	Unwind	Open hold	easy, turn	Week 2			
11	10	Hammerlock	Windmill	Hammerlock	fun, hard, turn	Week 2			Boy half outside turn (outside hand over head), bring outside hand down, continue/repeat.
12	10	Hammerlock	Crossover	Open hold	easy, swap	Week 2			Walk past each other, half turn.
13	10	Hammerlock	Double turn	Wrap	turn, fast	Week 2			
14	74	Wrap	Free spin	Open hold	easy, turn	Week 2			Slight pressure with forearm, don't send follower flying.
15	3	Open hold	Girl hesitation half-turn	Wrap	hard	Week 3			Girl turns half way round during four beats. Step, tap, step, tap. Block a full turn with non-turning hand on hip asap! Leader must clearly stop on beat 2, gentle block with over hand.
16	root	Wrap	Basic	Wrap	easy, basic	Week 3			
17	16	Wrap	Step forward + back	Wrap	basic	Week 3			Two steps forward, two steps back.
18	44	Wrap	Relax hands	Mates hold	easy, basic	Week 3			
19	74	Mates hold	Unwind	Open hold	turn	Week 3			
20	4	Open hold	Boy hesitation outside half-turn	Boy wrap	easy, test	Week 3			Turn outside, swap hands.
21	16	Boy wrap	Relax hands	Boy wrap	basic	Week 3			
22	3	Boy wrap	Unwind + girl turn	Crosshand	turn	Week 3			Prepare with clear contra. Leader half turn, follower full turn.
23	681	Crosshand	Throw one hand	Crosshand	basic	Week 3			Lift the bottom hand slightly then throw downward firmly on first beat of a bar. Follower should travel thrown hand in complete circle over four counts.
24	23	Crosshand	Throw two hands	Crosshand	basic	Week 3			Lift both hands slightly then throw downward on beats. Thrown hands should travel in a complete circle.
25	52	Crosshand	Girl double-handed turn	Crosshand	easy, turn	Week 3			Lead with top hand on one beat and bottom hand on next.
26	1	Crosshand	Girl haircomb	Open hold	easy, basic	Week 3			Boy's wrist goes just over girl's head and places her hand on her neck. Side of hand runs down arm as a guide.
27	681	Crosshand	Boy haircomb	Close hold	basic	Week 3			Leader pulls follower's hands over leader's head.
28	451	Close hold	Dip	Close hold	fun, body	Week No Mark			Boy squats down without bending forward; girl leans back on her toes, knees up and hips forward, head drops last
29	root	Close hold	Basic	Close hold	easy, basic	Week 4	2014-01-23		BRH on GLshoulderblade or teres major, supporting her slightly (girl can lean into the support a bit for a stronger connection). GLH on boy's shoulder. Keep BRelbow up so girl can feel frame at all times -- no gaps anywhere between these arms, from GLshoulder to BRshoulder. BLH and GRH extended -- girl's elbow cupped in boy's elbow. GRA should press outward slightly so boy can move her around if he wants to (boy shouldn't squeeze though. Feet interleaved, inside of right knees making contact. BRelbow must stay up so girl can feel frame -- which will probably be hard work, but you won't be able to do some of the fun stuff without this as a foundation. If boy is too tall to keep his elbow up, squat enough that you can keep your right arm horizontal anyway without straining the girl.
30	29	Close hold	Single step	Close hold	basic	Week 4	2014-01-23		Leader blocks basic with outside knee. Can also prepare by pre-swaying shoulders.
31	695	Close hold	Bodyroll + side dip	Close hold	body	Week 4	2014-01-23		Led using palm roll on girl's back. Head forward, then shoulders forward, then hips forward, then sit back and down. Side roll is sit rotated then knee flick other leg to roll back up, head last.
32	695	Close hold	Shoulder roll + body roll	Close hold	body	Week 4	2014-01-23		
33	29	Close hold	Basic forward	Close hold	easy, basic	Week 4	2014-01-23		Push girl backwards using frame
34	33	Close hold	Basic backward	Close hold	basic	Week 4	2014-01-23		
35	33	Close hold	Single step forward	Close hold	basic	Week 4	2014-01-23		
36	35	Close hold	Single step backward	Close hold	basic	Week 4	2014-01-23		
37	33	Close hold	Box step	Close hold	basic	Week 4	2014-01-23		First four beats are to side then forward, second four complete the box.
38	33	Close hold	Lunge	Close hold	basic	Week 4	2014-01-23		Step forward on one, down on two, step back on three
39	29	Close hold	Half spin	Close hold	easy, swap	Week 4	2014-01-23		Prepare with small contra, then half turn.
40	39	Close hold	Spin	Close hold	easy, swap	Week 4	2014-01-23		Prepare with large contra, then full turn fast. Foot should be turned at least 90 degress for first step. Boy's and girl's right feet are the pivot point -- boy on 1, girl on 2, boy on 3, use fourth beat to stop turning (start stopping on 3)
41	166	Close hold	Hip roll	Close hold	body	Week 4	2014-01-23		
42	-	Close hold	Step back	Open hold	easy, basic	Week 4	2014-01-23		
43	1	Open hold	Step back + walk around	Mates hold	easy	Week 5	2014-01-30		Place right hand on hip, left hands extended (tango-style).
44	16	Mates hold	Basic	Mates hold	easy, basic	Week 5	2014-01-30		Mates hold is when both are facing the same way, boy's right hand on girl's hip and left hands extended outward. Boy is offset to avoid awkwardness. Booty rolls optional. Keep GLelbow well in front of her body (not next to her hip) because it is more comfortable there.
45	17	Mates hold	Step back + kick forward	Mates hold	hard	Week 5	2014-01-30		Left foot back, right knee touches back of follower's thigh to push follower's leg into kick + step forward. Lead with frame to avoid foot collisions. Can also do back-back-forward-thighpush.
46	3	Open hold	Girl turn 5/4	Side-by-side	turn	Week 6	2014-02-06		Girl turns, then both dancers do an extra quarter turn to end up facing the same way. Led by swooping hand through at the end of main turn to keep momentum going.
47	414	Side-by-side	About turn	Side-by-side		Week 6	2014-02-06		Both forward on 1, 2, half turn inwards on 3 (swap hands) (led on 1), tap on 4.
48	414	Side-by-side	Girl spin + boy spin	Open hold	fast, turn	Week 6	2014-02-06		
49	182	Open hold	Girl + boy double-handed turn	Boy haircombed	fast, turn	Week 6	2014-02-06		????
50	-	Boy haircombed	Girl haircomb	Open hold	basic	Week 6	2014-02-06		
51	dup	Open hold	Girl turn	Open hold	easy, turn	Week 6	2014-02-06		
52	3	Open hold	Girl double-handed turn	Catapult	easy, turn	Week 6	2014-02-06		
53	1	Catapult	Catapult	Open hold	basic	Week 6	2014-02-06		Wind up then catapult follower's hand, it will travel in a circle and end at the top.
54	53	Catapult	Catapult + block + reverse	Catapult	basic, hard	Week 6	2014-02-06		Wind up then catapult follower's hand, it will travel in a circle. Block it when horizontal travelling up and reverse direction.
55	53	Catapult	Catapult + block + slips	Catapult	basic, hard	Week 6	2014-02-06		Left hand pushes anti-clockwise for arm wheel through tiny parting of hands x2
56	52	Catapult	Girl double-handed turn	Open hold	easy, turn	Week 6	2014-02-06		
57	-	Open hold	Step back	Stepped back	easy, basic	Week 7	2014-02-13		
58	52	Stepped back	Walk past tangle	Catapult	swap	Week 7	2014-02-13		Standing to side, boy haircomb with inside hand, walk past and half turn with outside hand going over as well.
59	dup	Catapult	Girl double-handed turn	Open hold	easy, turn	Week 7	2014-02-13		
60	dup	Open hold	Girl turn 5/4	Side-by-side	turn	Week 7	2014-02-13		
61	-	Cliffhanger	Boy walk past	Crosshand		Week 7	2014-02-13		Put girl's hand on your waist as you walk past, then both half turn
62	15	Crosshand	Girl hesitation turn	Mates hold	hard	Week 7	2014-02-13		Put right hand on girl's waist, left hands extended
63	62	Mates hold	Girl half turn	Hammerlock crosshand	fun	Week 7	2014-02-13		
64	-	Hammerlock crosshand	Girl turn + boy haircomb	Close hold	easy, turn	Week 7	2014-02-13		
65	44	Wrap	Haircomb	Mates hold	fun, body, basic	extra			Release both hands from seatbelted, then collect hand and extend out to side.
66	dup	Open hold	Boy turn	Crosshand	easy, boy	old Week 9			
67	25	Crosshand	Girl + boy double-handed turn	Crosshand	fast, turn	old Week 9			
68	dup	Crosshand	Girl haircomb	Open hold	easy, basic	old Week 9			
69	-	Open hold	Girl turn + swap hand	Crosshand	easy, turn	old Week 9			
70	25	Crosshand	Girl double-handed + boy turn	Boy hammerlock	fast, turn	old Week 9			
71	-	Boy hammerlock	Haircomb + arm sweep	Arm up	fun	old Week 9			
72	-	Arm up	Girl turn	Open hold	easy, turn	old Week 9			
73	52	Open hold	Girl double-handed turn	Wrap	easy, turn	old Week 9			
74	135	Wrap	Roll out girl	Cliffhanger	easy, turn	old Week 9			
75	-	Cliffhanger	Free spin	Open hold	easy, turn	old Week 9			
76	dup	Open hold	Girl turn 5/4	Side-by-side	turn	old Week 10			
77	dup	Side-by-side	About turn	Side-by-side		old Week 10			
78	dup	Side-by-side	Girl spin + boy spin	Open hold	fast, turn	old Week 10			
79	-	Side-by-side	Girl spin + boy spin	Control hold	fast, turn	old Week 10			
80	dup	Open hold	Girl turn	Hammerlock	easy, turn	old Week 10			
81	dup	Hammerlock	Double turn	Wrap	turn, fast	old Week 10			
82	dup	Wrap	Free spin	Open hold	easy, turn	old Week 10			
83	348	Crosshand	Boy turn	Boy hammerlock	easy	old Week 11			Leader keeps one hand high, one hand low.
84	dup	Open hold	Girl double-handed turn	Wrap	easy, turn	old Week 11			
85	17	Wrap	Push-pull	Cliffhanger	easy, fun, swap	old Week 11			Push her a little with your frame so that she steps forward on 1, but move to the right and pull her back so that she steps backward on two, and turn to face her.
86	85	Cliffhanger	Approach/retreat	Cliffhanger		old Week 11			
87	-	Wrap	Circle walk	Open hold	fun	old Week 12			Arm over girl + boy hand to elbow + boy turn + haircomb + circle walk + girl turn
90	-	Control hold	Girl turn	Hammerlock	easy, turn	extra			
91	dup	Open hold	Boy turn	Crosshand	easy, boy	Week 9	2014-02-20		
92	25	Crosshand	Girl double-handed turn + flick	Crosshand	turn	Week 9	2014-02-20		
93	dup	Crosshand	Throw two hands	Crosshand	basic	Week 9	2014-02-20		
94	dup	Crosshand	Girl double-handed turn	Crosshand	easy, turn	Week 9	2014-02-20		
95	681	Crosshand	Two arm circles	Arms up	fun	Week 9	2014-02-20		Girl's hands end up above her head, one hand holding the other wrist.
96	3	Arms up	Free turn	Open hold	easy, turn	Week 9	2014-02-20		
97	dup	Open hold	Girl double-handed turn	Catapult	easy, turn	Week 9	2014-02-20		
98	4	Catapult	Catapult + boy turn	Boy hammerlock	fun	Week 9	2014-02-20		
99	11	Boy hammerlock	Windmill	Boy hammerlock	fun, hard, turn	Week 9	2014-02-20		Both double-handed turn at the same time. While back-to-back, lower first hand before raising second.
100	-	Boy hammerlock	Girl haircomb	Close hold	easy, basic	Week 9	2014-02-20		
101	695	Close hold	Body roll down + body roll up	Close hold	fun, body	Week 9	2014-02-20		Body roll into a squat, then do it in reverse.
102	dup	Open hold	Boy turn	Crosshand	easy, boy	Week 12	2014-02-27		
103	-	Crosshand	Double haircomb	Crosshand	basic	Week 12	2014-02-27		
104	dup	Crosshand	Girl double-handed turn + flick	Crosshand	turn	Week 12	2014-02-27		
